Web Search interest: samt
Denmark Jan 2011 - Feb 2016

Interest over time
Week,samt
2014-03-09 - 2014-03-15,52
2014-03-16 - 2014-03-22,46
2014-03-23 - 2014-03-29,48
2014-03-30 - 2014-04-05,67
2014-04-06 - 2014-04-12,54
2014-04-13 - 2014-04-19,49
2014-04-20 - 2014-04-26,49
2014-04-27 - 2014-05-03,53
2014-05-04 - 2014-05-10,52
2014-05-11 - 2014-05-17,64
2014-05-18 - 2014-05-24,49
2014-05-25 - 2014-05-31,62
2014-06-01 - 2014-06-07,51
2014-06-08 - 2014-06-14,55
2014-06-15 - 2014-06-21,57
2014-06-22 - 2014-06-28,63
2014-06-29 - 2014-07-05,0
2014-07-06 - 2014-07-12,0
2014-07-13 - 2014-07-19,0
2014-07-20 - 2014-07-26,0
2014-07-27 - 2014-08-02,0
2014-08-03 - 2014-08-09,57
2014-08-10 - 2014-08-16,45
2014-08-17 - 2014-08-23,45
2014-08-24 - 2014-08-30,57
2014-08-31 - 2014-09-06,51
2014-09-07 - 2014-09-13,56
2014-09-14 - 2014-09-20,52
2014-09-21 - 2014-09-27,55
2014-09-28 - 2014-10-04,59
2014-10-05 - 2014-10-11,52
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,67
2014-10-26 - 2014-11-01,61
2014-11-02 - 2014-11-08,62
2014-11-09 - 2014-11-15,47
2014-11-16 - 2014-11-22,58
2014-11-23 - 2014-11-29,71
2014-11-30 - 2014-12-06,67
2014-12-07 - 2014-12-13,75
2014-12-14 - 2014-12-20,76
2014-12-21 - 2014-12-27,58
2014-12-28 - 2015-01-03,58
2015-01-04 - 2015-01-10,50
2015-01-11 - 2015-01-17,74
2015-01-18 - 2015-01-24,55
2015-01-25 - 2015-01-31,58
2015-02-01 - 2015-02-07,63
2015-02-08 - 2015-02-14,51
2015-02-15 - 2015-02-21,66
2015-02-22 - 2015-02-28,72
2015-03-01 - 2015-03-07,64
2015-03-08 - 2015-03-14,59
2015-03-15 - 2015-03-21,49
2015-03-22 - 2015-03-28,56
2015-03-29 - 2015-04-04,57
2015-04-05 - 2015-04-11,56
2015-04-12 - 2015-04-18,61
2015-04-19 - 2015-04-25,67
2015-04-26 - 2015-05-02,57
2015-05-03 - 2015-05-09,51
2015-05-10 - 2015-05-16,61
2015-05-17 - 2015-05-23,62
2015-05-24 - 2015-05-30,51
2015-05-31 - 2015-06-06,63
2015-06-07 - 2015-06-13,49
2015-06-14 - 2015-06-20,50
2015-06-21 - 2015-06-27,52
2015-06-28 - 2015-07-04,55
2015-07-05 - 2015-07-11,57
2015-07-12 - 2015-07-18,59
2015-07-19 - 2015-07-25,60
2015-07-26 - 2015-08-01,62
2015-08-02 - 2015-08-08,63
2015-08-09 - 2015-08-15,65
2015-08-16 - 2015-08-22,57
2015-08-23 - 2015-08-29,60
2015-08-30 - 2015-09-05,49
2015-09-06 - 2015-09-12,62
2015-09-13 - 2015-09-19,48
2015-09-20 - 2015-09-26,50
2015-09-27 - 2015-10-03,65
2015-10-04 - 2015-10-10,53
2015-10-11 - 2015-10-17,59
2015-10-18 - 2015-10-24,63
2015-10-25 - 2015-10-31,64
2015-11-01 - 2015-11-07,59
2015-11-08 - 2015-11-14,54
2015-11-15 - 2015-11-21,64
2015-11-22 - 2015-11-28,47
2015-11-29 - 2015-12-05,62
2015-12-06 - 2015-12-12,65
2015-12-13 - 2015-12-19,59
2015-12-20 - 2015-12-26,54
2015-12-27 - 2016-01-02,56
2016-01-03 - 2016-01-09,59
2016-01-10 - 2016-01-16,62
2016-01-17 - 2016-01-23,46
2016-01-24 - 2016-01-30,70
2016-01-31 - 2016-02-06,60
2016-02-07 - 2016-02-13,65
2016-02-14 - 2016-02-20,47
2016-02-21 - 2016-02-27,67
2016-02-28 - 2016-03-05,0


Top subregions for samt
Subregion,samt
Capital Region of Denmark,100
North Denmark Region,100
Region Zealand,96
Syddanmark,96
Central Denmark Region,91


Top cities for samt
City,samt
Aalborg,100
Odense,100
Samsø,91
Aarhus,86
Frederiksberg,84
Copenhagen,78



Top searches for samt
samt komma,100



Rising searches for samt
samt komma,+100%



