Web Search interest: vaccine
Denmark Jan 2011 - Feb 2016

Interest over time
Week,vaccine
hepatitis,25
influenza vaccine,20
influenza,20
mfr,20
mfr vaccine,20
vaccination,20
bivirkninger hpv vaccine,15
hepatitis a,10
hepatitis a vaccine,10
hpv vaccine pris,10
hepatitis b,10
hepatitis b vaccine,10
vaccine børn,10
vaccine mod livmoderhalskræft,5
vaccinationer,5
hpv vaccine mænd,5
vaccine thailand,5
rabies vaccine,5
rabies,5
gul feber vaccine,5
gul feber,5
hunde vaccine,5
vacciner,5
polio,5
mfr vaccine bivirkninger,5
polio vaccine,5
malaria vaccine,5
hepatitis vaccine pris,5
tetanus,5
mæslinger vaccine,5
tetanus vaccine,5
mæslinger,5
skoldkopper vaccine,5
livmoderhalskræft vaccine pris,5
stivkrampe vaccine,5
stivkrampe,5
gardasil,5
skoldkopper,5
3 måneders vaccine,5
livmoderhalskræft vaccine bivirkninger,5
gardasil vaccine,5
3 mdr vaccine,5
vaccine århus,5
difteri,5
influenza vaccine bivirkninger,5



Rising searches for vaccine
bivirkninger hpv vaccine,Breakout
hpv,+600%
hpv vaccine,+550%
hpv vaccine pris,+300%
hepatitis b vaccine,+100%
hepatitis b,+90%
hepatitis a vaccine,+80%
vaccine børn,+80%
hepatitis a,+70%
mfr,+60%



