Week,børn
2013-11-03 - 2013-11-09,83
2013-11-10 - 2013-11-16,86
2013-11-17 - 2013-11-23,88
2013-11-24 - 2013-11-30,85
2013-12-01 - 2013-12-07,84
2013-12-08 - 2013-12-14,90
2013-12-15 - 2013-12-21,81
2013-12-22 - 2013-12-28,71
2013-12-29 - 2014-01-04,86
2014-01-05 - 2014-01-11,86
2014-01-12 - 2014-01-18,82
2014-01-19 - 2014-01-25,81
2014-01-26 - 2014-02-01,79
2014-02-02 - 2014-02-08,81
2014-02-09 - 2014-02-15,84
2014-02-16 - 2014-02-22,82
2014-02-23 - 2014-03-01,81
2014-03-02 - 2014-03-08,77
2014-03-09 - 2014-03-15,80
2014-03-16 - 2014-03-22,80
2014-03-23 - 2014-03-29,77
2014-03-30 - 2014-04-05,78
2014-04-06 - 2014-04-12,80
2014-04-13 - 2014-04-19,82
2014-04-20 - 2014-04-26,80
2014-04-27 - 2014-05-03,76
2014-05-04 - 2014-05-10,76
2014-05-11 - 2014-05-17,76
2014-05-18 - 2014-05-24,78
2014-05-25 - 2014-05-31,77
2014-06-01 - 2014-06-07,74
2014-06-08 - 2014-06-14,75
2014-06-15 - 2014-06-21,73
2014-06-22 - 2014-06-28,75
2014-06-29 - 2014-07-05,77
2014-07-06 - 2014-07-12,75
2014-07-13 - 2014-07-19,76
2014-07-20 - 2014-07-26,71
2014-07-27 - 2014-08-02,76
2014-08-03 - 2014-08-09,80
2014-08-10 - 2014-08-16,83
2014-08-17 - 2014-08-23,89
2014-08-24 - 2014-08-30,81
2014-08-31 - 2014-09-06,86
2014-09-07 - 2014-09-13,82
2014-09-14 - 2014-09-20,82
2014-09-21 - 2014-09-27,87
2014-09-28 - 2014-10-04,84
2014-10-05 - 2014-10-11,85
2014-10-12 - 2014-10-18,87
2014-10-19 - 2014-10-25,86
2014-10-26 - 2014-11-01,86
2014-11-02 - 2014-11-08,86
2014-11-09 - 2014-11-15,87
2014-11-16 - 2014-11-22,89
2014-11-23 - 2014-11-29,91
2014-11-30 - 2014-12-06,95
2014-12-07 - 2014-12-13,96
2014-12-14 - 2014-12-20,89
2014-12-21 - 2014-12-27,73
2014-12-28 - 2015-01-03,79
2015-01-04 - 2015-01-10,79
2015-01-11 - 2015-01-17,84
2015-01-18 - 2015-01-24,87
2015-01-25 - 2015-01-31,87
2015-02-01 - 2015-02-07,86
2015-02-08 - 2015-02-14,88
2015-02-15 - 2015-02-21,78
2015-02-22 - 2015-02-28,75
2015-03-01 - 2015-03-07,77
2015-03-08 - 2015-03-14,81
2015-03-15 - 2015-03-21,77
2015-03-22 - 2015-03-28,79
2015-03-29 - 2015-04-04,81
2015-04-05 - 2015-04-11,79
2015-04-12 - 2015-04-18,78
2015-04-19 - 2015-04-25,82
2015-04-26 - 2015-05-02,75
2015-05-03 - 2015-05-09,74
2015-05-10 - 2015-05-16,74
2015-05-17 - 2015-05-23,73
2015-05-24 - 2015-05-30,75
2015-05-31 - 2015-06-06,80
2015-06-07 - 2015-06-13,76
2015-06-14 - 2015-06-20,74
2015-06-21 - 2015-06-27,76
2015-06-28 - 2015-07-04,80
2015-07-05 - 2015-07-11,81
2015-07-12 - 2015-07-18,79
2015-07-19 - 2015-07-25,81
2015-07-26 - 2015-08-01,81
2015-08-02 - 2015-08-08,76
2015-08-09 - 2015-08-15,79
2015-08-16 - 2015-08-22,77
2015-08-23 - 2015-08-29,81
2015-08-30 - 2015-09-05,87
2015-09-06 - 2015-09-12,86
2015-09-13 - 2015-09-19,87
2015-09-20 - 2015-09-26,85
2015-09-27 - 2015-10-03,88
2015-10-04 - 2015-10-10,93
2015-10-11 - 2015-10-17,97
2015-10-18 - 2015-10-24,93
2015-10-25 - 2015-10-31,86
2015-11-01 - 2015-11-07,87
2015-11-08 - 2015-11-14,85
2015-11-15 - 2015-11-21,89
2015-11-22 - 2015-11-28,94
2015-11-29 - 2015-12-05,90
2015-12-06 - 2015-12-12,100
2015-12-13 - 2015-12-19,97
2015-12-20 - 2015-12-26,77
2015-12-27 - 2016-01-02,88
2016-01-03 - 2016-01-09,92
2016-01-10 - 2016-01-16,91
2016-01-17 - 2016-01-23,95
2016-01-24 - 2016-01-30,98
2016-01-31 - 2016-02-06,92
2016-02-07 - 2016-02-13,88
2016-02-14 - 2016-02-20,90
2016-02-21 - 2016-02-27,83
2016-02-28 - 2016-03-05,95
