Week,gælder
2013-07-07 - 2013-07-13,75
2013-07-14 - 2013-07-20,63
2013-07-21 - 2013-07-27,65
2013-07-28 - 2013-08-03,63
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,73
2013-08-18 - 2013-08-24,71
2013-08-25 - 2013-08-31,62
2013-09-01 - 2013-09-07,58
2013-09-08 - 2013-09-14,73
2013-09-15 - 2013-09-21,71
2013-09-22 - 2013-09-28,49
2013-09-29 - 2013-10-05,77
2013-10-06 - 2013-10-12,67
2013-10-13 - 2013-10-19,52
2013-10-20 - 2013-10-26,63
2013-10-27 - 2013-11-02,57
2013-11-03 - 2013-11-09,60
2013-11-10 - 2013-11-16,67
2013-11-17 - 2013-11-23,70
2013-11-24 - 2013-11-30,59
2013-12-01 - 2013-12-07,57
2013-12-08 - 2013-12-14,73
2013-12-15 - 2013-12-21,74
2013-12-22 - 2013-12-28,58
2013-12-29 - 2014-01-04,59
2014-01-05 - 2014-01-11,72
2014-01-12 - 2014-01-18,68
2014-01-19 - 2014-01-25,69
2014-01-26 - 2014-02-01,56
2014-02-02 - 2014-02-08,89
2014-02-09 - 2014-02-15,75
2014-02-16 - 2014-02-22,77
2014-02-23 - 2014-03-01,59
2014-03-02 - 2014-03-08,65
2014-03-09 - 2014-03-15,76
2014-03-16 - 2014-03-22,87
2014-03-23 - 2014-03-29,72
2014-03-30 - 2014-04-05,75
2014-04-06 - 2014-04-12,65
2014-04-13 - 2014-04-19,59
2014-04-20 - 2014-04-26,85
2014-04-27 - 2014-05-03,67
2014-05-04 - 2014-05-10,72
2014-05-11 - 2014-05-17,61
2014-05-18 - 2014-05-24,93
2014-05-25 - 2014-05-31,65
2014-06-01 - 2014-06-07,82
2014-06-08 - 2014-06-14,71
2014-06-15 - 2014-06-21,69
2014-06-22 - 2014-06-28,79
2014-06-29 - 2014-07-05,85
2014-07-06 - 2014-07-12,68
2014-07-13 - 2014-07-19,67
2014-07-20 - 2014-07-26,67
2014-07-27 - 2014-08-02,87
2014-08-03 - 2014-08-09,82
2014-08-10 - 2014-08-16,67
2014-08-17 - 2014-08-23,65
2014-08-24 - 2014-08-30,75
2014-08-31 - 2014-09-06,74
2014-09-07 - 2014-09-13,84
2014-09-14 - 2014-09-20,86
2014-09-21 - 2014-09-27,75
2014-09-28 - 2014-10-04,100
2014-10-05 - 2014-10-11,72
2014-10-12 - 2014-10-18,61
2014-10-19 - 2014-10-25,73
2014-10-26 - 2014-11-01,75
2014-11-02 - 2014-11-08,86
2014-11-09 - 2014-11-15,72
2014-11-16 - 2014-11-22,81
2014-11-23 - 2014-11-29,72
2014-11-30 - 2014-12-06,81
2014-12-07 - 2014-12-13,63
2014-12-14 - 2014-12-20,76
2014-12-21 - 2014-12-27,60
2014-12-28 - 2015-01-03,51
2015-01-04 - 2015-01-10,93
2015-01-11 - 2015-01-17,64
2015-01-18 - 2015-01-24,84
2015-01-25 - 2015-01-31,78
2015-02-01 - 2015-02-07,77
2015-02-08 - 2015-02-14,69
2015-02-15 - 2015-02-21,83
2015-02-22 - 2015-02-28,66
2015-03-01 - 2015-03-07,72
2015-03-08 - 2015-03-14,75
2015-03-15 - 2015-03-21,66
2015-03-22 - 2015-03-28,68
2015-03-29 - 2015-04-04,78
2015-04-05 - 2015-04-11,100
2015-04-12 - 2015-04-18,73
2015-04-19 - 2015-04-25,78
2015-04-26 - 2015-05-02,80
2015-05-03 - 2015-05-09,96
2015-05-10 - 2015-05-16,76
2015-05-17 - 2015-05-23,73
2015-05-24 - 2015-05-30,80
2015-05-31 - 2015-06-06,95
2015-06-07 - 2015-06-13,86
2015-06-14 - 2015-06-20,76
2015-06-21 - 2015-06-27,70
2015-06-28 - 2015-07-04,74
2015-07-05 - 2015-07-11,76
2015-07-12 - 2015-07-18,94
2015-07-19 - 2015-07-25,58
2015-07-26 - 2015-08-01,73
2015-08-02 - 2015-08-08,66
2015-08-09 - 2015-08-15,89
2015-08-16 - 2015-08-22,73
2015-08-23 - 2015-08-29,77
2015-08-30 - 2015-09-05,76
2015-09-06 - 2015-09-12,82
2015-09-13 - 2015-09-19,75
2015-09-20 - 2015-09-26,76
2015-09-27 - 2015-10-03,77
2015-10-04 - 2015-10-10,91
2015-10-11 - 2015-10-17,73
2015-10-18 - 2015-10-24,86
2015-10-25 - 2015-10-31,88
2015-11-01 - 2015-11-07,80
2015-11-08 - 2015-11-14,73
2015-11-15 - 2015-11-21,80
2015-11-22 - 2015-11-28,84
2015-11-29 - 2015-12-05,69
2015-12-06 - 2015-12-12,81
2015-12-13 - 2015-12-19,75
2015-12-20 - 2015-12-26,60
2015-12-27 - 2016-01-02,59
2016-01-03 - 2016-01-09,81
2016-01-10 - 2016-01-16,85
2016-01-17 - 2016-01-23,58
2016-01-24 - 2016-01-30,73
2016-01-31 - 2016-02-06,82
2016-02-07 - 2016-02-13,76
2016-02-14 - 2016-02-20,72
2016-02-21 - 2016-02-27,89
2016-02-28 - 2016-03-05,0
