Week,to
2015-11-15 - 2015-11-21,84
2015-11-22 - 2015-11-28,82
2015-11-29 - 2015-12-05,84
2015-12-06 - 2015-12-12,83
2015-12-13 - 2015-12-19,85
2015-12-20 - 2015-12-26,91
2015-12-27 - 2016-01-02,89
2016-01-03 - 2016-01-09,88
2016-01-10 - 2016-01-16,89
2016-01-17 - 2016-01-23,89
2016-01-24 - 2016-01-30,86
2016-01-31 - 2016-02-06,85
2016-02-07 - 2016-02-13,86
2016-02-14 - 2016-02-20,89
2016-02-21 - 2016-02-27,86
2016-02-28 - 2016-03-05,100
