Web Search interest: meningitis
Denmark Jan 2011 - Feb 2016

Interest over time
Week,meningitis
2015-01-04 - 2015-01-10,16
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,15
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,17
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,16
2015-03-22 - 2015-03-28,17
2015-03-29 - 2015-04-04,14
2015-04-05 - 2015-04-11,20
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,18
2015-05-17 - 2015-05-23,14
2015-05-24 - 2015-05-30,21
2015-05-31 - 2015-06-06,19
2015-06-07 - 2015-06-13,12
2015-06-14 - 2015-06-20,15
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,16
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,14
2015-07-26 - 2015-08-01,16
2015-08-02 - 2015-08-08,14
2015-08-09 - 2015-08-15,16
2015-08-16 - 2015-08-22,19
2015-08-23 - 2015-08-29,14
2015-08-30 - 2015-09-05,14
2015-09-06 - 2015-09-12,13
2015-09-13 - 2015-09-19,17
2015-09-20 - 2015-09-26,17
2015-09-27 - 2015-10-03,17
2015-10-04 - 2015-10-10,16
2015-10-11 - 2015-10-17,15
2015-10-18 - 2015-10-24,20
2015-10-25 - 2015-10-31,14
2015-11-01 - 2015-11-07,22
2015-11-08 - 2015-11-14,19
2015-11-15 - 2015-11-21,20
2015-11-22 - 2015-11-28,14
2015-11-29 - 2015-12-05,13
2015-12-06 - 2015-12-12,14
2015-12-13 - 2015-12-19,15
2015-12-20 - 2015-12-26,18
2015-12-27 - 2016-01-02,19
2016-01-03 - 2016-01-09,100
2016-01-10 - 2016-01-16,32
2016-01-17 - 2016-01-23,87
2016-01-24 - 2016-01-30,24
2016-01-31 - 2016-02-06,22
2016-02-07 - 2016-02-13,25
2016-02-14 - 2016-02-20,30
2016-02-21 - 2016-02-27,38
2016-02-28 - 2016-03-05,0


Top subregions for meningitis
Subregion,meningitis
Capital Region of Denmark,100
Syddanmark,98
Central Denmark Region,96
Region Zealand,89
North Denmark Region,87


Top cities for meningitis
City,meningitis
Hvidovre,100
Aarhus,85
Roskilde County,85
Frederiksberg,84
Odense,79
Kolding,79
Samsø,74
Copenhagen,73
Aalborg,71



Top searches for meningitis
meningitis symptomer,100
meningitis børn,45
symptomer på meningitis,30
viral meningitis,25
meningitis vaccine,25



Rising searches for meningitis
symptomer på meningitis,Breakout
viral meningitis,Breakout
meningitis børn,+110%



