Web Search interest: vaccination
Denmark Jan 2011 - Feb 2016

Interest over time
Week,vaccination
2012-06-24 - 2012-06-30,60
2012-07-01 - 2012-07-07,72
2012-07-08 - 2012-07-14,57
2012-07-15 - 2012-07-21,47
2012-07-22 - 2012-07-28,50
2012-07-29 - 2012-08-04,70
2012-08-05 - 2012-08-11,64
2012-08-12 - 2012-08-18,59
2012-08-19 - 2012-08-25,53
2012-08-26 - 2012-09-01,79
2012-09-02 - 2012-09-08,72
2012-09-09 - 2012-09-15,78
2012-09-16 - 2012-09-22,75
2012-09-23 - 2012-09-29,70
2012-09-30 - 2012-10-06,85
2012-10-07 - 2012-10-13,88
2012-10-14 - 2012-10-20,88
2012-10-21 - 2012-10-27,69
2012-10-28 - 2012-11-03,71
2012-11-04 - 2012-11-10,63
2012-11-11 - 2012-11-17,64
2012-11-18 - 2012-11-24,58
2012-11-25 - 2012-12-01,58
2012-12-02 - 2012-12-08,53
2012-12-09 - 2012-12-15,58
2012-12-16 - 2012-12-22,49
2012-12-23 - 2012-12-29,59
2012-12-30 - 2013-01-05,93
2013-01-06 - 2013-01-12,96
2013-01-13 - 2013-01-19,78
2013-01-20 - 2013-01-26,63
2013-01-27 - 2013-02-02,60
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,63
2013-02-17 - 2013-02-23,60
2013-02-24 - 2013-03-02,56
2013-03-03 - 2013-03-09,56
2013-03-10 - 2013-03-16,64
2013-03-17 - 2013-03-23,51
2013-03-24 - 2013-03-30,36
2013-03-31 - 2013-04-06,56
2013-04-07 - 2013-04-13,59
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,48
2013-04-28 - 2013-05-04,57
2013-05-05 - 2013-05-11,55
2013-05-12 - 2013-05-18,53
2013-05-19 - 2013-05-25,60
2013-05-26 - 2013-06-01,51
2013-06-02 - 2013-06-08,54
2013-06-09 - 2013-06-15,60
2013-06-16 - 2013-06-22,55
2013-06-23 - 2013-06-29,60
2013-06-30 - 2013-07-06,52
2013-07-07 - 2013-07-13,49
2013-07-14 - 2013-07-20,48
2013-07-21 - 2013-07-27,45
2013-07-28 - 2013-08-03,60
2013-08-04 - 2013-08-10,58
2013-08-11 - 2013-08-17,59
2013-08-18 - 2013-08-24,61
2013-08-25 - 2013-08-31,71
2013-09-01 - 2013-09-07,53
2013-09-08 - 2013-09-14,53
2013-09-15 - 2013-09-21,53
2013-09-22 - 2013-09-28,63
2013-09-29 - 2013-10-05,70
2013-10-06 - 2013-10-12,77
2013-10-13 - 2013-10-19,59
2013-10-20 - 2013-10-26,55
2013-10-27 - 2013-11-02,49
2013-11-03 - 2013-11-09,56
2013-11-10 - 2013-11-16,51
2013-11-17 - 2013-11-23,45
2013-11-24 - 2013-11-30,49
2013-12-01 - 2013-12-07,42
2013-12-08 - 2013-12-14,53
2013-12-15 - 2013-12-21,55
2013-12-22 - 2013-12-28,38
2013-12-29 - 2014-01-04,60
2014-01-05 - 2014-01-11,69
2014-01-12 - 2014-01-18,71
2014-01-19 - 2014-01-25,60
2014-01-26 - 2014-02-01,70
2014-02-02 - 2014-02-08,55
2014-02-09 - 2014-02-15,57
2014-02-16 - 2014-02-22,58
2014-02-23 - 2014-03-01,54
2014-03-02 - 2014-03-08,44
2014-03-09 - 2014-03-15,49
2014-03-16 - 2014-03-22,40
2014-03-23 - 2014-03-29,40
2014-03-30 - 2014-04-05,44
2014-04-06 - 2014-04-12,49
2014-04-13 - 2014-04-19,46
2014-04-20 - 2014-04-26,44
2014-04-27 - 2014-05-03,53
2014-05-04 - 2014-05-10,64
2014-05-11 - 2014-05-17,46
2014-05-18 - 2014-05-24,57
2014-05-25 - 2014-05-31,57
2014-06-01 - 2014-06-07,61
2014-06-08 - 2014-06-14,63
2014-06-15 - 2014-06-21,61
2014-06-22 - 2014-06-28,60
2014-06-29 - 2014-07-05,54
2014-07-06 - 2014-07-12,60
2014-07-13 - 2014-07-19,54
2014-07-20 - 2014-07-26,45
2014-07-27 - 2014-08-02,54
2014-08-03 - 2014-08-09,51
2014-08-10 - 2014-08-16,54
2014-08-17 - 2014-08-23,45
2014-08-24 - 2014-08-30,45
2014-08-31 - 2014-09-06,44
2014-09-07 - 2014-09-13,45
2014-09-14 - 2014-09-20,67
2014-09-21 - 2014-09-27,53
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,68
2014-10-12 - 2014-10-18,53
2014-10-19 - 2014-10-25,72
2014-10-26 - 2014-11-01,57
2014-11-02 - 2014-11-08,64
2014-11-09 - 2014-11-15,55
2014-11-16 - 2014-11-22,49
2014-11-23 - 2014-11-29,50
2014-11-30 - 2014-12-06,45
2014-12-07 - 2014-12-13,50
2014-12-14 - 2014-12-20,54
2014-12-21 - 2014-12-27,39
2014-12-28 - 2015-01-03,46
2015-01-04 - 2015-01-10,75
2015-01-11 - 2015-01-17,66
2015-01-18 - 2015-01-24,59
2015-01-25 - 2015-01-31,59
2015-02-01 - 2015-02-07,68
2015-02-08 - 2015-02-14,62
2015-02-15 - 2015-02-21,68
2015-02-22 - 2015-02-28,95
2015-03-01 - 2015-03-07,64
2015-03-08 - 2015-03-14,72
2015-03-15 - 2015-03-21,57
2015-03-22 - 2015-03-28,56
2015-03-29 - 2015-04-04,39
2015-04-05 - 2015-04-11,58
2015-04-12 - 2015-04-18,49
2015-04-19 - 2015-04-25,51
2015-04-26 - 2015-05-02,49
2015-05-03 - 2015-05-09,56
2015-05-10 - 2015-05-16,53
2015-05-17 - 2015-05-23,41
2015-05-24 - 2015-05-30,41
2015-05-31 - 2015-06-06,46
2015-06-07 - 2015-06-13,67
2015-06-14 - 2015-06-20,46
2015-06-21 - 2015-06-27,54
2015-06-28 - 2015-07-04,67
2015-07-05 - 2015-07-11,58
2015-07-12 - 2015-07-18,50
2015-07-19 - 2015-07-25,57
2015-07-26 - 2015-08-01,47
2015-08-02 - 2015-08-08,46
2015-08-09 - 2015-08-15,47
2015-08-16 - 2015-08-22,56
2015-08-23 - 2015-08-29,57
2015-08-30 - 2015-09-05,53
2015-09-06 - 2015-09-12,57
2015-09-13 - 2015-09-19,57
2015-09-20 - 2015-09-26,65
2015-09-27 - 2015-10-03,78
2015-10-04 - 2015-10-10,81
2015-10-11 - 2015-10-17,64
2015-10-18 - 2015-10-24,59
2015-10-25 - 2015-10-31,52
2015-11-01 - 2015-11-07,60
2015-11-08 - 2015-11-14,53
2015-11-15 - 2015-11-21,54
2015-11-22 - 2015-11-28,48
2015-11-29 - 2015-12-05,49
2015-12-06 - 2015-12-12,52
2015-12-13 - 2015-12-19,59
2015-12-20 - 2015-12-26,45
2015-12-27 - 2016-01-02,44
2016-01-03 - 2016-01-09,78
2016-01-10 - 2016-01-16,69
2016-01-17 - 2016-01-23,77
2016-01-24 - 2016-01-30,61
2016-01-31 - 2016-02-06,69
2016-02-07 - 2016-02-13,62
2016-02-14 - 2016-02-20,52
2016-02-21 - 2016-02-27,56
2016-02-28 - 2016-03-05,0


Top subregions for vaccination
Subregion,vaccination
Capital Region of Denmark,100
Central Denmark Region,78
North Denmark Region,73
Syddanmark,72
Region Zealand,70


Top cities for vaccination
City,vaccination
Herlev,100
Lyngby,94
Frederiksberg,93
Aarhus,83
Copenhagen,81
Roskilde County,80
Samsø,80
Hillerod,79
Hvidovre,74
Vejle County,69
Silkeborg,69
Aalborg,68
Odense,67
Randers,66
Naestved,65



Top searches for vaccination
vaccine,100
vaccinationer,70
børn vaccination,60
thailand vaccination,55
vaccination feber,55
hepatitis,55
vaccination hepatitis,50
vaccination hund,50
vaccination hpv,40
hunde vaccination,40
baby vaccination,35
influenza,35
influenza vaccination,35
vaccination rejse,35
vaccination hepatitis a,25
hepatitis a,25
serum institut vaccination,25
vaccination livmoderhalskræft,25
3 måneders vaccination,25
vaccination priser,20
vaccination gul feber,20
gul feber,20
vaccination århus,20
statens serum institut,20
vaccination kat,20
stivkrampe vaccination,20
hepatitis b,20
mfr vaccination,20
stivkrampe,20
hepatitis b vaccination,15
vaccination egypten,15
ssi,15
vaccination københavn,15
ssi vaccination,15
hvalpe vaccination,15
vaccination indien,15
seruminstituttet,15
rabies vaccination,15
dansk vaccination,15
seruminstituttet vaccination,15
kina vaccination,15
katte vaccination,15
feber efter vaccination,15
vaccination hest,10
vaccination af hund,10
hpv vaccine,10
difteri vaccination,10
vaccination frederiksberg,10
vietnam vaccination,10
difteri,10



Rising searches for vaccination
baby vaccination,+250%
vaccination hpv,+250%
børn vaccination,+150%
vaccination hund,+140%
vaccinationer,+110%
hunde vaccination,+90%
vaccination feber,+90%
vaccine,+90%
vaccination hepatitis a,+80%
hepatitis a,+60%



