Week,mellem
2012-05-06 - 2012-05-12,69
2012-05-13 - 2012-05-19,65
2012-05-20 - 2012-05-26,70
2012-05-27 - 2012-06-02,69
2012-06-03 - 2012-06-09,79
2012-06-10 - 2012-06-16,77
2012-06-17 - 2012-06-23,77
2012-06-24 - 2012-06-30,58
2012-07-01 - 2012-07-07,49
2012-07-08 - 2012-07-14,47
2012-07-15 - 2012-07-21,54
2012-07-22 - 2012-07-28,47
2012-07-29 - 2012-08-04,51
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,57
2012-08-19 - 2012-08-25,66
2012-08-26 - 2012-09-01,73
2012-09-02 - 2012-09-08,71
2012-09-09 - 2012-09-15,72
2012-09-16 - 2012-09-22,74
2012-09-23 - 2012-09-29,75
2012-09-30 - 2012-10-06,74
2012-10-07 - 2012-10-13,71
2012-10-14 - 2012-10-20,56
2012-10-21 - 2012-10-27,74
2012-10-28 - 2012-11-03,72
2012-11-04 - 2012-11-10,82
2012-11-11 - 2012-11-17,81
2012-11-18 - 2012-11-24,81
2012-11-25 - 2012-12-01,77
2012-12-02 - 2012-12-08,77
2012-12-09 - 2012-12-15,79
2012-12-16 - 2012-12-22,79
2012-12-23 - 2012-12-29,73
2012-12-30 - 2013-01-05,60
2013-01-06 - 2013-01-12,77
2013-01-13 - 2013-01-19,72
2013-01-20 - 2013-01-26,73
2013-01-27 - 2013-02-02,78
2013-02-03 - 2013-02-09,74
2013-02-10 - 2013-02-16,63
2013-02-17 - 2013-02-23,72
2013-02-24 - 2013-03-02,72
2013-03-03 - 2013-03-09,72
2013-03-10 - 2013-03-16,78
2013-03-17 - 2013-03-23,74
2013-03-24 - 2013-03-30,55
2013-03-31 - 2013-04-06,72
2013-04-07 - 2013-04-13,74
2013-04-14 - 2013-04-20,100
2013-04-21 - 2013-04-27,74
2013-04-28 - 2013-05-04,82
2013-05-05 - 2013-05-11,78
2013-05-12 - 2013-05-18,81
2013-05-19 - 2013-05-25,77
2013-05-26 - 2013-06-01,77
2013-06-02 - 2013-06-08,81
2013-06-09 - 2013-06-15,79
2013-06-16 - 2013-06-22,76
2013-06-23 - 2013-06-29,60
2013-06-30 - 2013-07-06,50
2013-07-07 - 2013-07-13,56
2013-07-14 - 2013-07-20,55
2013-07-21 - 2013-07-27,54
2013-07-28 - 2013-08-03,50
2013-08-04 - 2013-08-10,48
2013-08-11 - 2013-08-17,58
2013-08-18 - 2013-08-24,73
2013-08-25 - 2013-08-31,69
2013-09-01 - 2013-09-07,76
2013-09-08 - 2013-09-14,80
2013-09-15 - 2013-09-21,92
2013-09-22 - 2013-09-28,77
2013-09-29 - 2013-10-05,79
2013-10-06 - 2013-10-12,79
2013-10-13 - 2013-10-19,60
2013-10-20 - 2013-10-26,82
2013-10-27 - 2013-11-02,82
2013-11-03 - 2013-11-09,88
2013-11-10 - 2013-11-16,82
2013-11-17 - 2013-11-23,88
2013-11-24 - 2013-11-30,83
2013-12-01 - 2013-12-07,77
2013-12-08 - 2013-12-14,85
2013-12-15 - 2013-12-21,78
2013-12-22 - 2013-12-28,74
2013-12-29 - 2014-01-04,64
2014-01-05 - 2014-01-11,77
2014-01-12 - 2014-01-18,85
2014-01-19 - 2014-01-25,77
2014-01-26 - 2014-02-01,81
2014-02-02 - 2014-02-08,78
2014-02-09 - 2014-02-15,73
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,84
2014-03-02 - 2014-03-08,86
2014-03-09 - 2014-03-15,86
2014-03-16 - 2014-03-22,82
2014-03-23 - 2014-03-29,89
2014-03-30 - 2014-04-05,88
2014-04-06 - 2014-04-12,83
2014-04-13 - 2014-04-19,67
2014-04-20 - 2014-04-26,83
2014-04-27 - 2014-05-03,88
2014-05-04 - 2014-05-10,86
2014-05-11 - 2014-05-17,82
2014-05-18 - 2014-05-24,84
2014-05-25 - 2014-05-31,85
2014-06-01 - 2014-06-07,84
2014-06-08 - 2014-06-14,87
2014-06-15 - 2014-06-21,84
2014-06-22 - 2014-06-28,66
2014-06-29 - 2014-07-05,59
2014-07-06 - 2014-07-12,72
2014-07-13 - 2014-07-19,63
2014-07-20 - 2014-07-26,64
2014-07-27 - 2014-08-02,64
2014-08-03 - 2014-08-09,55
2014-08-10 - 2014-08-16,72
2014-08-17 - 2014-08-23,76
2014-08-24 - 2014-08-30,76
2014-08-31 - 2014-09-06,87
2014-09-07 - 2014-09-13,88
2014-09-14 - 2014-09-20,86
2014-09-21 - 2014-09-27,83
2014-09-28 - 2014-10-04,89
2014-10-05 - 2014-10-11,88
2014-10-12 - 2014-10-18,69
2014-10-19 - 2014-10-25,94
2014-10-26 - 2014-11-01,91
2014-11-02 - 2014-11-08,95
2014-11-09 - 2014-11-15,87
2014-11-16 - 2014-11-22,92
2014-11-23 - 2014-11-29,95
2014-11-30 - 2014-12-06,86
2014-12-07 - 2014-12-13,96
2014-12-14 - 2014-12-20,85
2014-12-21 - 2014-12-27,72
2014-12-28 - 2015-01-03,78
2015-01-04 - 2015-01-10,87
2015-01-11 - 2015-01-17,86
2015-01-18 - 2015-01-24,83
2015-01-25 - 2015-01-31,85
2015-02-01 - 2015-02-07,94
2015-02-08 - 2015-02-14,75
2015-02-15 - 2015-02-21,81
2015-02-22 - 2015-02-28,95
2015-03-01 - 2015-03-07,83
2015-03-08 - 2015-03-14,91
2015-03-15 - 2015-03-21,86
2015-03-22 - 2015-03-28,85
2015-03-29 - 2015-04-04,66
2015-04-05 - 2015-04-11,83
2015-04-12 - 2015-04-18,91
2015-04-19 - 2015-04-25,93
2015-04-26 - 2015-05-02,86
2015-05-03 - 2015-05-09,86
2015-05-10 - 2015-05-16,84
2015-05-17 - 2015-05-23,83
2015-05-24 - 2015-05-30,84
2015-05-31 - 2015-06-06,85
2015-06-07 - 2015-06-13,94
2015-06-14 - 2015-06-20,80
2015-06-21 - 2015-06-27,69
2015-06-28 - 2015-07-04,69
2015-07-05 - 2015-07-11,70
2015-07-12 - 2015-07-18,64
2015-07-19 - 2015-07-25,68
2015-07-26 - 2015-08-01,63
2015-08-02 - 2015-08-08,68
2015-08-09 - 2015-08-15,69
2015-08-16 - 2015-08-22,81
2015-08-23 - 2015-08-29,82
2015-08-30 - 2015-09-05,82
2015-09-06 - 2015-09-12,94
2015-09-13 - 2015-09-19,89
2015-09-20 - 2015-09-26,88
2015-09-27 - 2015-10-03,92
2015-10-04 - 2015-10-10,93
2015-10-11 - 2015-10-17,72
2015-10-18 - 2015-10-24,93
2015-10-25 - 2015-10-31,91
2015-11-01 - 2015-11-07,86
2015-11-08 - 2015-11-14,91
2015-11-15 - 2015-11-21,91
2015-11-22 - 2015-11-28,84
2015-11-29 - 2015-12-05,84
2015-12-06 - 2015-12-12,94
2015-12-13 - 2015-12-19,91
2015-12-20 - 2015-12-26,71
2015-12-27 - 2016-01-02,79
2016-01-03 - 2016-01-09,88
2016-01-10 - 2016-01-16,92
2016-01-17 - 2016-01-23,96
2016-01-24 - 2016-01-30,93
2016-01-31 - 2016-02-06,92
2016-02-07 - 2016-02-13,90
2016-02-14 - 2016-02-20,70
2016-02-21 - 2016-02-27,87
2016-02-28 - 2016-03-05,96
