Week,effekten
2014-03-23 - 2014-03-29,18
2014-03-30 - 2014-04-05,17
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,19
2014-04-20 - 2014-04-26,20
2014-04-27 - 2014-05-03,22
2014-05-04 - 2014-05-10,22
2014-05-11 - 2014-05-17,22
2014-05-18 - 2014-05-24,32
2014-05-25 - 2014-05-31,24
2014-06-01 - 2014-06-07,26
2014-06-08 - 2014-06-14,21
2014-06-15 - 2014-06-21,28
2014-06-22 - 2014-06-28,23
2014-06-29 - 2014-07-05,24
2014-07-06 - 2014-07-12,25
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,28
2014-07-27 - 2014-08-02,21
2014-08-03 - 2014-08-09,21
2014-08-10 - 2014-08-16,21
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,29
2014-08-31 - 2014-09-06,24
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,19
2014-09-21 - 2014-09-27,21
2014-09-28 - 2014-10-04,19
2014-10-05 - 2014-10-11,24
2014-10-12 - 2014-10-18,25
2014-10-19 - 2014-10-25,26
2014-10-26 - 2014-11-01,21
2014-11-02 - 2014-11-08,27
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,26
2014-11-23 - 2014-11-29,21
2014-11-30 - 2014-12-06,25
2014-12-07 - 2014-12-13,29
2014-12-14 - 2014-12-20,31
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,19
2015-01-11 - 2015-01-17,21
2015-01-18 - 2015-01-24,22
2015-01-25 - 2015-01-31,22
2015-02-01 - 2015-02-07,21
2015-02-08 - 2015-02-14,17
2015-02-15 - 2015-02-21,21
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,17
2015-03-08 - 2015-03-14,16
2015-03-15 - 2015-03-21,19
2015-03-22 - 2015-03-28,18
2015-03-29 - 2015-04-04,18
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,23
2015-04-19 - 2015-04-25,18
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,16
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,18
2015-05-24 - 2015-05-30,19
2015-05-31 - 2015-06-06,19
2015-06-07 - 2015-06-13,20
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,0
2015-06-28 - 2015-07-04,0
2015-07-05 - 2015-07-11,0
2015-07-12 - 2015-07-18,0
2015-07-19 - 2015-07-25,0
2015-07-26 - 2015-08-01,0
2015-08-02 - 2015-08-08,0
2015-08-09 - 2015-08-15,17
2015-08-16 - 2015-08-22,15
2015-08-23 - 2015-08-29,15
2015-08-30 - 2015-09-05,15
2015-09-06 - 2015-09-12,19
2015-09-13 - 2015-09-19,22
2015-09-20 - 2015-09-26,22
2015-09-27 - 2015-10-03,20
2015-10-04 - 2015-10-10,19
2015-10-11 - 2015-10-17,19
2015-10-18 - 2015-10-24,20
2015-10-25 - 2015-10-31,21
2015-11-01 - 2015-11-07,18
2015-11-08 - 2015-11-14,19
2015-11-15 - 2015-11-21,22
2015-11-22 - 2015-11-28,19
2015-11-29 - 2015-12-05,18
2015-12-06 - 2015-12-12,18
2015-12-13 - 2015-12-19,26
2015-12-20 - 2015-12-26,23
2015-12-27 - 2016-01-02,23
2016-01-03 - 2016-01-09,23
2016-01-10 - 2016-01-16,19
2016-01-17 - 2016-01-23,20
2016-01-24 - 2016-01-30,22
2016-01-31 - 2016-02-06,16
2016-02-07 - 2016-02-13,19
2016-02-14 - 2016-02-20,18
2016-02-21 - 2016-02-27,18
2016-02-28 - 2016-03-05,0
